"""Name"",""Species/breed"",""Inventory"",""Date of birth"",""Sex"",""Castrated"",""Tag ID"",""Tag type"",""Tag location"",""Description"",""Flags"",""Group"",""Location"",""Archived"""
"""Chivera Hembra"",""Jersey"",""48"","""","""",""No"","""","""","""","""","""",""jersey grupo"",""Finca San Jeronimo Miramar, Establo 1, Chivera, Chivera Hembra"","""""
"""Chivera Macho"",""Jersey"",""4"","""","""",""No"","""","""","""","""","""",""jersey grupo"",""Finca San Jeronimo Miramar, Establo 1, Chivera Macho, Chivera"","""""
"""Corral Destete"",""Jersey"",""28"","""","""",""No"","""","""","""","""","""",""jersey grupo"",""Finca San Jeronimo Miramar, Establo 1, Corral Destete"","""""
"""Criavaquina"",""Concentrado"",""14"","""","""",""No"","""","""","""","""","""",""Purina"",""Bodega"","""""
"""Cuna Hembra"",""Jersey"",""34"","""","""",""No"","""","""","""","""","""",""jersey grupo"",""Finca San Jeronimo Miramar, Establo 1, Cuna, Cuna Hembra"","""""
"""Cuna macho"",""Jersey"",""10"","""","""",""No"","""","""","""","""","""",""jersey grupo"",""Finca San Jeronimo Miramar, Establo 1, Cuna Macho, Cuna"","""""
"""Desarrollo 18%"",""Concentrado"",""39"","""","""",""No"","""","""","""","""","""",""Coorpoleche"",""Bodega"","""""
"""General 1"",""Jersey"",""70"","""","""",""No"","""","""","""","""","""",""jersey grupo"",""Finca San Jeronimo Miramar, Establo 1, General 1"","""""
"""General 2"",""Jersey"",""30"","""","""",""No"","""","""","""","""","""",""jersey grupo"",""Finca San Jeronimo Miramar, Establo 1, General 2"","""""
"""Lote 1B"",""Jersey"",""53"","""","""",""No"","""","""","""","""","""",""jersey grupo"",""Finca San Jeronimo Miramar, Establo 2, Ordeño Establo 2, Lote 1B Establo 2"","""""
"""Lote 2B"",""Jersey"",""37"","""","""",""No"","""","""","""","""","""",""jersey grupo"",""Finca San Jeronimo Miramar, Establo 1, Ordeño Establo 1, Lote 2B"","""""
"""Lote 2B"",""Jersey"",""34"","""","""",""No"","""","""","""","""","""",""jersey grupo"",""Finca San Jeronimo Miramar, Establo 2, Ordeño Establo 2, Lote 2B Establo 2"","""""
"""Lote 3B"",""Jersey"",""34"","""","""",""No"","""","""","""","""","""",""jersey grupo"",""Finca San Jeronimo Miramar, Establo 1, Ordeño Establo 1, Lote 3B"","""""
"""Lote 3B"",""Jersey"",""33"","""","""",""No"","""","""","""","""","""",""jersey grupo"",""Finca San Jeronimo Miramar, Establo 2, Ordeño Establo 2, Lote 3B Establo 2"","""""
"""Lote 5B"",""Jersey"",""48"","""","""",""No"","""","""","""","""","""",""jersey grupo"",""Finca San Jeronimo Miramar, Establo 1, Ordeño Establo 1, Lote 5B"","""""
"""Maternidad Vacas"",""Jersey"",""65"","""","""",""No"","""","""","""","""","""",""jersey grupo"",""Finca San Jeronimo Miramar, Establo 1, Maternidad Vacas"","""""
"""Novellina"",""Concentrado"",""0"","""","""",""No"","""","""","""","""","""",""Purina"",""Bodega"","""""
"""Nutrifol"",""Concentrado"",""15"","""","""",""No"","""","""","""","""","""",""Purina"",""Bodega"","""""
"""Pecutrin"",""Concentrado"",""22"","""","""",""No"","""","""","""","""","""",""Purina"",""Bodega"","""""
"""Prepartina"",""Concentrado"",""39"","""","""",""No"","""","""","""","""","""",""Purina"",""Bodega"","""""
"""Toritos"",""Jersey"",""13"","""","""",""No"","""","""","""","""","""",""jersey grupo"",""Finca San Jeronimo Miramar, Establo 1, Toritos"","""""
"""Toro vaca secas"",""Jersey"",""1"","""","""",""No"","""","""","""","""","""",""jersey grupo"",""Finca San Jeronimo Miramar, Establo 1, Toro vaca secas"","""""
"""Toros grandes"",""Jersey"",""1"","""","""",""No"","""","""","""","""","""",""jersey grupo"",""Finca San Jeronimo Miramar, Establo 2, Toros grandes"","""""
"""Toros grandes E1"",""Jersey"",""3"","""","""",""No"","""","""","""","""","""",""jersey grupo"",""Finca San Jeronimo Miramar, Establo 1, Toros grandes E1"","""""
"""Toxisorb"",""Concentrado"",""6"","""","""",""No"","""","""","""","""","""",""Purina"",""Bodega"","""""
"""Tramo enfermas"",""Jersey"",""2"","""","""",""No"","""","""","""","""","""",""jersey grupo"",""Finca San Jeronimo Miramar, Establo 2, Tramo enfermas"","""""
"""Vacas 19%"",""Concentrado"",""61"","""","""",""No"","""","""","""","""","""",""Coorpoleche"",""Bodega"","""""
"""Vacas 21%"",""Concentrado"",""111"","""","""",""No"","""","""","""","""","""",""Coorpoleche"",""Bodega"","""""
"""Vacas de descarte"",""Jersey"",""0"","""","""",""No"","""","""","""","""","""","""",""Finca San Jeronimo Miramar, Establo 1, Vacas de descarte"","""""
"""Vacas Enfermas"",""Jersey"",""18"","""","""",""No"","""","""","""","""","""",""jersey grupo"",""Finca San Jeronimo Miramar, Establo 1, Vacas Enfermas"","""""
"""Vacas secas"",""Jersey"",""92"","""","""",""No"","""","""","""","""","""",""jersey grupo"",""Finca San Jeronimo Miramar, Establo 1, Vacas secas"","""""
"""Vacas secas"",""Concentrado"",""60"","""","""",""No"","""","""","""","""","""",""Coorpoleche"",""Bodega"","""""
"""Zeotek Extra"",""Concentrado"",""5"","""","""",""No"","""","""","""","""","""",""Coorpoleche"",""Bodega"","""""
"""Zeotex"",""Concentrado"",""5"","""","""",""No"","""","""","""","""","""",""Coorpoleche"",""Bodega"","""""
